file,line_number,issue_type,severity,description,suggested_fix,fix_applied,page_url
public\sw.js,0,syntax_error,high,Unbalanced '{}': 438 opening vs 435 closing,Check for missing or extra { or },False,
public\sw.js,0,syntax_error,high,Unbalanced '()': 995 opening vs 993 closing,Check for missing or extra ( or ),False,
public\sw.js,1,code_quality,low,Use === instead of == for strict equality,Replace == with ===,False,
public\sw.js,2,code_quality,low,Use === instead of == for strict equality,Replace == with ===,False,
src\actions\create-user.ts,4,code_quality,low,Potentially unused import: 'type CookieOptions',Remove unused import 'type CookieOptions' if not needed,False,
src\actions\manage-user.ts,4,code_quality,low,Potentially unused import: 'type CookieOptions',Remove unused import 'type CookieOptions' if not needed,False,
src\app\(public)\apply\page.tsx,77,react_antipattern,medium,JSX element inside .map() may be missing key prop,Add key={uniqueId} prop to the element,False,
src\app\(public)\apply\page.tsx,168,react_antipattern,medium,JSX element inside .map() may be missing key prop,Add key={uniqueId} prop to the element,False,
src\app\admin\analytics\scorecard\page.tsx,83,react_antipattern,medium,JSX element inside .map() may be missing key prop,Add key={uniqueId} prop to the element,False,
src\app\admin\analytics\scorecard\page.tsx,5,code_quality,low,Potentially unused import: 'Building2',Remove unused import 'Building2' if not needed,False,
src\app\admin\analytics\scorecard\page.tsx,5,code_quality,low,Potentially unused import: 'DollarSign',Remove unused import 'DollarSign' if not needed,False,
src\app\admin\analytics\vacancy\page.tsx,53,react_antipattern,medium,JSX element inside .map() may be missing key prop,Add key={uniqueId} prop to the element,False,
src\app\admin\analytics\vacancy\page.tsx,6,code_quality,low,Potentially unused import: 'TrendingDown',Remove unused import 'TrendingDown' if not needed,False,
src\app\admin\analytics\vacancy\page.tsx,6,code_quality,low,Potentially unused import: 'TrendingUp',Remove unused import 'TrendingUp' if not needed,False,
src\app\admin\analytics\vacancy\page.tsx,6,code_quality,low,Potentially unused import: 'AlertTriangle',Remove unused import 'AlertTriangle' if not needed,False,
src\app\admin\analytics\vacancy\page.tsx,6,code_quality,low,Potentially unused import: 'Map',Remove unused import 'Map' if not needed,False,
src\app\admin\analytics\vacancy\page.tsx,6,code_quality,low,Potentially unused import: 'Building2',Remove unused import 'Building2' if not needed,False,
src\app\admin\analytics\vacancy\page.tsx,6,code_quality,low,Potentially unused import: 'Megaphone // Icon for MTM rolling leases',Remove unused import 'Megaphone // Icon for MTM rolling leases' if not needed,False,
src\app\admin\applications\page.tsx,77,react_antipattern,medium,JSX element inside .map() may be missing key prop,Add key={uniqueId} prop to the element,False,
src\app\admin\applications\page.tsx,109,react_antipattern,medium,JSX element inside .map() may be missing key prop,Add key={uniqueId} prop to the element,False,
src\app\admin\approvals\page.tsx,5,code_quality,low,Potentially unused import: 'Eye',Remove unused import 'Eye' if not needed,False,
src\app\admin\approvals\page.tsx,5,code_quality,low,Potentially unused import: 'Hammer',Remove unused import 'Hammer' if not needed,False,
src\app\admin\approvals\page.tsx,5,code_quality,low,Potentially unused import: 'DollarSign',Remove unused import 'DollarSign' if not needed,False,
src\app\admin\approvals\page.tsx,5,code_quality,low,Potentially unused import: 'ArrowRight',Remove unused import 'ArrowRight' if not needed,False,
src\app\admin\audit\lease-intelligence\page.tsx,6,code_quality,low,Potentially unused import: 'CheckCircle2',Remove unused import 'CheckCircle2' if not needed,False,
src\app\admin\audit\lease-intelligence\page.tsx,6,code_quality,low,Potentially unused import: 'FileText',Remove unused import 'FileText' if not needed,False,
src\app\admin\audit\lease-intelligence\page.tsx,6,code_quality,low,Potentially unused import: 'Landmark',Remove unused import 'Landmark' if not needed,False,
src\app\admin\audit\page.tsx,3,code_quality,low,Potentially unused import: 'useEffect',Remove unused import 'useEffect' if not needed,False,
src\app\admin\audit\page.tsx,6,code_quality,low,Potentially unused import: 'CheckCircle2',Remove unused import 'CheckCircle2' if not needed,False,
src\app\admin\audit\page.tsx,6,code_quality,low,Potentially unused import: 'FileText',Remove unused import 'FileText' if not needed,False,
src\app\admin\chat\page.tsx,118,react_antipattern,medium,JSX element inside .map() may be missing key prop,Add key={uniqueId} prop to the element,False,
src\app\admin\chat\page.tsx,6,code_quality,low,Potentially unused import: 'Users',Remove unused import 'Users' if not needed,False,
src\app\admin\chat\page.tsx,6,code_quality,low,Potentially unused import: 'Shield',Remove unused import 'Shield' if not needed,False,
src\app\admin\chat\page.tsx,6,code_quality,low,Potentially unused import: 'Search',Remove unused import 'Search' if not needed,False,
src\app\admin\chat\page.tsx,6,code_quality,low,Potentially unused import: 'MessageSquare',Remove unused import 'MessageSquare' if not needed,False,
src\app\admin\compliance\evictions\page.tsx,141,react_antipattern,medium,JSX element inside .map() may be missing key prop,Add key={uniqueId} prop to the element,False,
src\app\admin\compliance\evictions\page.tsx,4,code_quality,low,Potentially unused import: 'AlertTriangle',Remove unused import 'AlertTriangle' if not needed,False,
src\app\admin\compliance\evictions\page.tsx,10,code_quality,low,Potentially unused import: 'type EvictionCase',Remove unused import 'type EvictionCase' if not needed,False,
src\app\admin\compliance\evictions\page.tsx,10,code_quality,low,Potentially unused import: 'type EvictionStatus',Remove unused import 'type EvictionStatus' if not needed,False,
src\app\admin\compliance\evictions\page.tsx,10,code_quality,low,Potentially unused import: 'type NoticeType',Remove unused import 'type NoticeType' if not needed,False,
src\app\admin\compliance\evictions\page.tsx,10,code_quality,low,Potentially unused import: 'type CreateEvictionInput',Remove unused import 'type CreateEvictionInput' if not needed,False,
src\app\admin\compliance\page.tsx,9,code_quality,low,Potentially unused import: 'type ComplianceFilters',Remove unused import 'type ComplianceFilters' if not needed,False,
src\app\admin\compliance\page.tsx,9,code_quality,low,Potentially unused import: 'type ComplianceAlert',Remove unused import 'type ComplianceAlert' if not needed,False,
src\app\admin\documents\page.tsx,4,code_quality,low,Potentially unused import: 'Share2',Remove unused import 'Share2' if not needed,False,
src\app\admin\documents\page.tsx,4,code_quality,low,Potentially unused import: 'AlertCircle',Remove unused import 'AlertCircle' if not needed,False,
src\app\admin\documents\page.tsx,9,code_quality,low,Potentially unused import: 'toast',Remove unused import 'toast' if not needed,False,
src\app\admin\documents\page.tsx,10,code_quality,low,Potentially unused import: 'type Document',Remove unused import 'type Document' if not needed,False,
src\app\admin\documents\page.tsx,10,code_quality,low,Potentially unused import: 'type DocumentFilters',Remove unused import 'type DocumentFilters' if not needed,False,
src\app\admin\finance\ap\page.tsx,242,react_antipattern,medium,JSX element inside .map() may be missing key prop,Add key={uniqueId} prop to the element,False,
src\app\admin\finance\ap\page.tsx,4,code_quality,low,Potentially unused import: 'Calendar',Remove unused import 'Calendar' if not needed,False,
src\app\admin\finance\ap\page.tsx,11,code_quality,low,Potentially unused import: 'toast',Remove unused import 'toast' if not needed,False,
src\app\admin\finance\ap\page.tsx,13,code_quality,low,Potentially unused import: 'type Bill',Remove unused import 'type Bill' if not needed,False,
src\app\admin\finance\ap\page.tsx,13,code_quality,low,Potentially unused import: 'type BillFilters',Remove unused import 'type BillFilters' if not needed,False,
src\app\admin\finance\ar-agent\page.tsx,99,react_antipattern,medium,JSX element inside .map() may be missing key prop,Add key={uniqueId} prop to the element,False,
src\app\admin\finance\ar-agent\page.tsx,10,code_quality,low,Potentially unused import: 'type ARAction',Remove unused import 'type ARAction' if not needed,False,
src\app\admin\finance\billing\page.tsx,6,code_quality,low,Potentially unused import: 'Hash',Remove unused import 'Hash' if not needed,False,
src\app\admin\finance\billing\page.tsx,12,code_quality,low,Potentially unused import: 'type BillingSettingsUpdate',Remove unused import 'type BillingSettingsUpdate' if not needed,False,
src\app\admin\finance\budgets\page.tsx,164,react_antipattern,medium,JSX element inside .map() may be missing key prop,Add key={uniqueId} prop to the element,False,
src\app\admin\finance\budgets\page.tsx,280,react_antipattern,medium,JSX element inside .map() may be missing key prop,Add key={uniqueId} prop to the element,False,
src\app\admin\finance\budgets\page.tsx,655,react_antipattern,medium,JSX element inside .map() may be missing key prop,Add key={uniqueId} prop to the element,False,
src\app\admin\finance\budgets\page.tsx,760,react_antipattern,medium,JSX element inside .map() may be missing key prop,Add key={uniqueId} prop to the element,False,
src\app\admin\finance\budgets\page.tsx,9,code_quality,low,Potentially unused import: 'BarChart',Remove unused import 'BarChart' if not needed,False,
src\app\admin\finance\budgets\page.tsx,9,code_quality,low,Potentially unused import: 'Area',Remove unused import 'Area' if not needed,False,
src\app\admin\finance\budgets\page.tsx,16,code_quality,low,Potentially unused import: 'type Budget',Remove unused import 'type Budget' if not needed,False,
src\app\admin\finance\budgets\page.tsx,16,code_quality,low,Potentially unused import: 'type BudgetLineItem',Remove unused import 'type BudgetLineItem' if not needed,False,
src\app\admin\finance\budgets\page.tsx,16,code_quality,low,Potentially unused import: 'type BudgetVsActualRow',Remove unused import 'type BudgetVsActualRow' if not needed,False,
src\app\admin\finance\budgets\page.tsx,16,code_quality,low,Potentially unused import: 'type ForecastMonth',Remove unused import 'type ForecastMonth' if not needed,False,
src\app\admin\finance\budgets\page.tsx,16,code_quality,low,Potentially unused import: 'type BudgetStatus',Remove unused import 'type BudgetStatus' if not needed,False,
src\app\admin\finance\distributions\page.tsx,26,react_antipattern,medium,JSX element inside .map() may be missing key prop,Add key={uniqueId} prop to the element,False,
src\app\admin\finance\distributions\page.tsx,4,code_quality,low,Potentially unused import: 'DollarSign',Remove unused import 'DollarSign' if not needed,False,
src\app\admin\finance\page.tsx,50,react_antipattern,medium,JSX element inside .map() may be missing key prop,Add key={uniqueId} prop to the element,False,
src\app\admin\finance\payroll\page.tsx,115,react_antipattern,medium,JSX element inside .map() may be missing key prop,Add key={uniqueId} prop to the element,False,
src\app\admin\finance\reconcile\page.tsx,74,react_antipattern,medium,JSX element inside .map() may be missing key prop,Add key={uniqueId} prop to the element,False,
src\app\admin\finance\reconcile\page.tsx,4,code_quality,low,Potentially unused import: 'ArrowRightLeft',Remove unused import 'ArrowRightLeft' if not needed,False,
src\app\admin\finance\reconcile\page.tsx,4,code_quality,low,Potentially unused import: 'Filter',Remove unused import 'Filter' if not needed,False,
src\app\admin\finance\reconcile\page.tsx,4,code_quality,low,Potentially unused import: 'Search',Remove unused import 'Search' if not needed,False,
src\app\admin\finance\statements\page.tsx,147,react_antipattern,medium,JSX element inside .map() may be missing key prop,Add key={uniqueId} prop to the element,False,
src\app\admin\finance\statements\page.tsx,6,code_quality,low,Potentially unused import: 'User',Remove unused import 'User' if not needed,False,
src\app\admin\finance\statements\page.tsx,6,code_quality,low,Potentially unused import: 'Filter',Remove unused import 'Filter' if not needed,False,
src\app\admin\finance\tax-forms\page.tsx,166,react_antipattern,medium,JSX element inside .map() may be missing key prop,Add key={uniqueId} prop to the element,False,
src\app\admin\finance\tax-forms\page.tsx,356,react_antipattern,medium,JSX element inside .map() may be missing key prop,Add key={uniqueId} prop to the element,False,
src\app\admin\finance\tax-forms\page.tsx,4,code_quality,low,Potentially unused import: 'CheckCircle2',Remove unused import 'CheckCircle2' if not needed,False,
src\app\admin\finance\tax-forms\page.tsx,11,code_quality,low,Potentially unused import: 'type PayerSettingsPayload',Remove unused import 'type PayerSettingsPayload' if not needed,False,
src\app\admin\finance\tax-forms\page.tsx,11,code_quality,low,Potentially unused import: 'type VendorPaymentSummary',Remove unused import 'type VendorPaymentSummary' if not needed,False,
src\app\admin\finance\tax-forms\page.tsx,11,code_quality,low,Potentially unused import: 'type OwnerDistributionSummary',Remove unused import 'type OwnerDistributionSummary' if not needed,False,
src\app\admin\finance\tax-forms\page.tsx,11,code_quality,low,Potentially unused import: 'type TaxForm1099',Remove unused import 'type TaxForm1099' if not needed,False,
src\app\admin\inspections\page.tsx,351,react_antipattern,medium,JSX element inside .map() may be missing key prop,Add key={uniqueId} prop to the element,False,
src\app\admin\inspections\page.tsx,521,react_antipattern,medium,JSX element inside .map() may be missing key prop,Add key={uniqueId} prop to the element,False,
src\app\admin\inspections\page.tsx,666,react_antipattern,medium,JSX element inside .map() may be missing key prop,Add key={uniqueId} prop to the element,False,
src\app\admin\inspections\page.tsx,4,code_quality,low,Potentially unused import: 'EyeOff',Remove unused import 'EyeOff' if not needed,False,
src\app\admin\inspections\page.tsx,13,code_quality,low,Potentially unused import: 'type Inspection',Remove unused import 'type Inspection' if not needed,False,
src\app\admin\inspections\page.tsx,13,code_quality,low,Potentially unused import: 'type InspectionArea',Remove unused import 'type InspectionArea' if not needed,False,
src\app\admin\inspections\page.tsx,13,code_quality,low,Potentially unused import: 'type InspectionPhoto',Remove unused import 'type InspectionPhoto' if not needed,False,
src\app\admin\inspections\page.tsx,13,code_quality,low,Potentially unused import: 'type InspectionFilters',Remove unused import 'type InspectionFilters' if not needed,False,
src\app\admin\inspections\page.tsx,13,code_quality,low,Potentially unused import: 'type ConditionRating',Remove unused import 'type ConditionRating' if not needed,False,
src\app\admin\leases\page.tsx,32,react_antipattern,medium,JSX element inside .map() may be missing key prop,Add key={uniqueId} prop to the element,False,
src\app\admin\leases\page.tsx,176,react_antipattern,medium,JSX element inside .map() may be missing key prop,Add key={uniqueId} prop to the element,False,
src\app\admin\leases\page.tsx,215,react_antipattern,medium,JSX element inside .map() may be missing key prop,Add key={uniqueId} prop to the element,False,
src\app\admin\leases\page.tsx,4,code_quality,low,Potentially unused import: 'Filter',Remove unused import 'Filter' if not needed,False,
src\app\admin\leases\page.tsx,7,code_quality,low,Potentially unused import: 'type LeaseDetail',Remove unused import 'type LeaseDetail' if not needed,False,
src\app\admin\leases\page.tsx,8,code_quality,low,Potentially unused import: 'type RenewalScore',Remove unused import 'type RenewalScore' if not needed,False,
src\app\admin\leases\templates\page.tsx,218,react_antipattern,medium,JSX element inside .map() may be missing key prop,Add key={uniqueId} prop to the element,False,
src\app\admin\leases\templates\page.tsx,332,react_antipattern,medium,JSX element inside .map() may be missing key prop,Add key={uniqueId} prop to the element,False,
src\app\admin\leases\templates\page.tsx,493,react_antipattern,medium,JSX element inside .map() may be missing key prop,Add key={uniqueId} prop to the element,False,
src\app\admin\leases\templates\page.tsx,561,react_antipattern,medium,JSX element inside .map() may be missing key prop,Add key={uniqueId} prop to the element,False,
src\app\admin\leases\templates\page.tsx,3,code_quality,low,Potentially unused import: 'useCallback',Remove unused import 'useCallback' if not needed,False,
src\app\admin\leases\templates\page.tsx,25,code_quality,low,Potentially unused import: 'type LeaseTemplate',Remove unused import 'type LeaseTemplate' if not needed,False,
src\app\admin\leases\templates\page.tsx,25,code_quality,low,Potentially unused import: 'type LeaseClause',Remove unused import 'type LeaseClause' if not needed,False,
src\app\admin\leases\templates\page.tsx,25,code_quality,low,Potentially unused import: 'type LeaseTemplateContent',Remove unused import 'type LeaseTemplateContent' if not needed,False,
src\app\admin\leasing-crm\page.tsx,228,react_antipattern,medium,JSX element inside .map() may be missing key prop,Add key={uniqueId} prop to the element,False,
src\app\admin\leasing-crm\page.tsx,334,react_antipattern,medium,JSX element inside .map() may be missing key prop,Add key={uniqueId} prop to the element,False,
src\app\admin\leasing-crm\page.tsx,431,react_antipattern,medium,JSX element inside .map() may be missing key prop,Add key={uniqueId} prop to the element,False,
src\app\admin\leasing-crm\page.tsx,4,code_quality,low,Potentially unused import: 'MapPin',Remove unused import 'MapPin' if not needed,False,
src\app\admin\leasing-crm\page.tsx,15,code_quality,low,Potentially unused import: 'type Lead',Remove unused import 'type Lead' if not needed,False,
src\app\admin\leasing-crm\page.tsx,15,code_quality,low,Potentially unused import: 'type LeadFilters',Remove unused import 'type LeadFilters' if not needed,False,
src\app\admin\listings\syndication\page.tsx,159,react_antipattern,medium,JSX element inside .map() may be missing key prop,Add key={uniqueId} prop to the element,False,
src\app\admin\listings\syndication\page.tsx,242,react_antipattern,medium,JSX element inside .map() may be missing key prop,Add key={uniqueId} prop to the element,False,
src\app\admin\listings\syndication\page.tsx,552,react_antipattern,medium,JSX element inside .map() may be missing key prop,Add key={uniqueId} prop to the element,False,
src\app\admin\listings\syndication\page.tsx,573,react_antipattern,medium,JSX element inside .map() may be missing key prop,Add key={uniqueId} prop to the element,False,
src\app\admin\listings\syndication\page.tsx,595,react_antipattern,medium,JSX element inside .map() may be missing key prop,Add key={uniqueId} prop to the element,False,
src\app\admin\listings\syndication\page.tsx,6,code_quality,low,Potentially unused import: 'DollarSign',Remove unused import 'DollarSign' if not needed,False,
src\app\admin\listings\syndication\page.tsx,6,code_quality,low,Potentially unused import: 'CheckCircle2',Remove unused import 'CheckCircle2' if not needed,False,
src\app\admin\listings\syndication\page.tsx,13,code_quality,low,Potentially unused import: 'type UnitListing',Remove unused import 'type UnitListing' if not needed,False,
src\app\admin\listings\syndication\page.tsx,13,code_quality,low,Potentially unused import: 'type CreateListingPayload',Remove unused import 'type CreateListingPayload' if not needed,False,
src\app\admin\listings\syndication\page.tsx,13,code_quality,low,Potentially unused import: 'type PetPolicy',Remove unused import 'type PetPolicy' if not needed,False,
src\app\admin\listings\syndication\page.tsx,13,code_quality,low,Potentially unused import: 'type ListingStatus',Remove unused import 'type ListingStatus' if not needed,False,
src\app\admin\maintenance\page.tsx,0,syntax_error,high,Unbalanced '{}': 121 opening vs 123 closing,Check for missing or extra { or },False,
src\app\admin\maintenance\page.tsx,0,syntax_error,high,Unbalanced '()': 152 opening vs 153 closing,Check for missing or extra ( or ),False,
src\app\admin\maintenance\page.tsx,352,react_antipattern,medium,JSX element inside .map() may be missing key prop,Add key={uniqueId} prop to the element,False,
src\app\admin\maintenance\page.tsx,6,code_quality,low,Potentially unused import: 'Save',Remove unused import 'Save' if not needed,False,
src\app\admin\maintenance\page.tsx,6,code_quality,low,Potentially unused import: 'Home',Remove unused import 'Home' if not needed,False,
src\app\admin\maintenance\page.tsx,21,code_quality,low,Potentially unused import: 'type VendorBid',Remove unused import 'type VendorBid' if not needed,False,
src\app\admin\maintenance\page.tsx,21,code_quality,low,Potentially unused import: 'type VendorInvoice',Remove unused import 'type VendorInvoice' if not needed,False,
src\app\admin\maintenance\turns\page.tsx,172,react_antipattern,medium,JSX element inside .map() may be missing key prop,Add key={uniqueId} prop to the element,False,
src\app\admin\maintenance\turns\page.tsx,318,react_antipattern,medium,JSX element inside .map() may be missing key prop,Add key={uniqueId} prop to the element,False,
src\app\admin\maintenance\turns\page.tsx,416,react_antipattern,medium,JSX element inside .map() may be missing key prop,Add key={uniqueId} prop to the element,False,
src\app\admin\maintenance\turns\page.tsx,4,code_quality,low,Potentially unused import: 'AlertCircle',Remove unused import 'AlertCircle' if not needed,False,
src\app\admin\maintenance\turns\page.tsx,4,code_quality,low,Potentially unused import: 'BarChart3',Remove unused import 'BarChart3' if not needed,False,
src\app\admin\maintenance\turns\page.tsx,4,code_quality,low,Potentially unused import: 'ArrowRight',Remove unused import 'ArrowRight' if not needed,False,
src\app\admin\maintenance\turns\page.tsx,4,code_quality,low,Potentially unused import: 'Hammer',Remove unused import 'Hammer' if not needed,False,
src\app\admin\maintenance\turns\page.tsx,10,code_quality,low,Potentially unused import: 'toast',Remove unused import 'toast' if not needed,False,
src\app\admin\maintenance\turns\page.tsx,13,code_quality,low,Potentially unused import: 'useTurnTemplates',Remove unused import 'useTurnTemplates' if not needed,False,
src\app\admin\maintenance\turns\page.tsx,13,code_quality,low,Potentially unused import: 'TASK_STATUS_OPTIONS',Remove unused import 'TASK_STATUS_OPTIONS' if not needed,False,
src\app\admin\maintenance\turns\page.tsx,13,code_quality,low,Potentially unused import: 'type UnitTurn',Remove unused import 'type UnitTurn' if not needed,False,
src\app\admin\maintenance\turns\page.tsx,13,code_quality,low,Potentially unused import: 'type TurnTask',Remove unused import 'type TurnTask' if not needed,False,
src\app\admin\maintenance\turns\page.tsx,13,code_quality,low,Potentially unused import: 'type TurnFilters',Remove unused import 'type TurnFilters' if not needed,False,
src\app\admin\messages\page.tsx,200,react_antipattern,medium,JSX element inside .map() may be missing key prop,Add key={uniqueId} prop to the element,False,
src\app\admin\messages\page.tsx,248,react_antipattern,medium,JSX element inside .map() may be missing key prop,Add key={uniqueId} prop to the element,False,
src\app\admin\messages\page.tsx,281,react_antipattern,medium,JSX element inside .map() may be missing key prop,Add key={uniqueId} prop to the element,False,
src\app\admin\messages\page.tsx,350,react_antipattern,medium,JSX element inside .map() may be missing key prop,Add key={uniqueId} prop to the element,False,
src\app\admin\messages\page.tsx,3,code_quality,low,Potentially unused import: 'useCallback',Remove unused import 'useCallback' if not needed,False,
src\app\admin\messages\page.tsx,4,code_quality,low,Potentially unused import: 'Megaphone',Remove unused import 'Megaphone' if not needed,False,
src\app\admin\messages\page.tsx,4,code_quality,low,Potentially unused import: 'Clock',Remove unused import 'Clock' if not needed,False,
src\app\admin\messages\page.tsx,4,code_quality,low,Potentially unused import: 'Filter',Remove unused import 'Filter' if not needed,False,
src\app\admin\messages\page.tsx,4,code_quality,low,Potentially unused import: 'Phone',Remove unused import 'Phone' if not needed,False,
src\app\admin\messages\page.tsx,11,code_quality,low,Potentially unused import: 'type Conversation',Remove unused import 'type Conversation' if not needed,False,
src\app\admin\messages\page.tsx,11,code_quality,low,Potentially unused import: 'type ConversationFilters',Remove unused import 'type ConversationFilters' if not needed,False,
src\app\admin\messages\page.tsx,11,code_quality,low,Potentially unused import: 'type ConversationType',Remove unused import 'type ConversationType' if not needed,False,
src\app\admin\notifications\page.tsx,64,react_antipattern,medium,JSX element inside .map() may be missing key prop,Add key={uniqueId} prop to the element,False,
src\app\admin\notifications\page.tsx,6,code_quality,low,Potentially unused import: 'Users',Remove unused import 'Users' if not needed,False,
src\app\admin\notifications\page.tsx,6,code_quality,low,Potentially unused import: 'MessageSquare',Remove unused import 'MessageSquare' if not needed,False,
src\app\admin\notifications\page.tsx,6,code_quality,low,Potentially unused import: 'CheckCircle2',Remove unused import 'CheckCircle2' if not needed,False,
src\app\admin\onboarding\page.tsx,6,code_quality,low,Potentially unused import: 'CheckCircle2',Remove unused import 'CheckCircle2' if not needed,False,
src\app\admin\onboarding\page.tsx,6,code_quality,low,Potentially unused import: 'Search',Remove unused import 'Search' if not needed,False,
src\app\admin\owners\page.tsx,117,react_antipattern,medium,JSX element inside .map() may be missing key prop,Add key={uniqueId} prop to the element,False,
src\app\admin\owners\page.tsx,8,code_quality,low,Potentially unused import: 'type Owner',Remove unused import 'type Owner' if not needed,False,
src\app\admin\payroll\page.tsx,5,code_quality,low,Potentially unused import: 'supabase',Remove unused import 'supabase' if not needed,False,
src\app\admin\payroll\page.tsx,6,code_quality,low,Potentially unused import: 'ArrowRight',Remove unused import 'ArrowRight' if not needed,False,
src\app\admin\payroll\page.tsx,6,code_quality,low,Potentially unused import: 'CheckCircle2',Remove unused import 'CheckCircle2' if not needed,False,
src\app\admin\portfolio-map\page.tsx,0,syntax_error,high,Unbalanced '{}': 4 opening vs 5 closing,Check for missing or extra { or },False,
src\app\admin\portfolio-map\page.tsx,103,security,medium,Direct innerHTML assignment — XSS risk; use textContent or sanitize: innerHTML =,Review and remediate the security issue,False,
src\app\admin\portfolio-map\page.tsx,104,react_antipattern,medium,JSX element inside .map() may be missing key prop,Add key={uniqueId} prop to the element,False,
src\app\admin\portfolio-map\page.tsx,7,code_quality,low,Potentially unused import: 'ArrowLeft',Remove unused import 'ArrowLeft' if not needed,False,
src\app\admin\portfolio-map\page.tsx,7,code_quality,low,Potentially unused import: 'TrendingUp',Remove unused import 'TrendingUp' if not needed,False,
src\app\admin\properties\[id]\page.tsx,6,code_quality,low,Potentially unused import: 'TrendingUp',Remove unused import 'TrendingUp' if not needed,False,
src\app\admin\properties\page.tsx,22,react_antipattern,medium,JSX element inside .map() may be missing key prop,Add key={uniqueId} prop to the element,False,
src\app\admin\properties\page.tsx,77,react_antipattern,medium,JSX element inside .map() may be missing key prop,Add key={uniqueId} prop to the element,False,
src\app\admin\properties\page.tsx,6,code_quality,low,Potentially unused import: 'TrendingUp',Remove unused import 'TrendingUp' if not needed,False,
src\app\admin\reports\page.tsx,145,react_antipattern,medium,JSX element inside .map() may be missing key prop,Add key={uniqueId} prop to the element,False,
src\app\admin\reports\page.tsx,11,code_quality,low,Potentially unused import: 'type ReportType',Remove unused import 'type ReportType' if not needed,False,
src\app\admin\reports\page.tsx,11,code_quality,low,Potentially unused import: 'type ReportFilters',Remove unused import 'type ReportFilters' if not needed,False,
src\app\admin\reports\page.tsx,11,code_quality,low,Potentially unused import: 'type RentRollRow',Remove unused import 'type RentRollRow' if not needed,False,
src\app\admin\reports\page.tsx,11,code_quality,low,Potentially unused import: 'type ProfitLossRow',Remove unused import 'type ProfitLossRow' if not needed,False,
src\app\admin\reports\page.tsx,11,code_quality,low,Potentially unused import: 'type VacancyRow',Remove unused import 'type VacancyRow' if not needed,False,
src\app\admin\reports\page.tsx,11,code_quality,low,Potentially unused import: 'type MaintenanceCostRow',Remove unused import 'type MaintenanceCostRow' if not needed,False,
src\app\admin\reports\page.tsx,11,code_quality,low,Potentially unused import: 'type ARAgingRow',Remove unused import 'type ARAgingRow' if not needed,False,
src\app\admin\reports\page.tsx,11,code_quality,low,Potentially unused import: 'type OwnerStatementRow',Remove unused import 'type OwnerStatementRow' if not needed,False,
src\app\admin\reports\schedules\page.tsx,168,react_antipattern,medium,JSX element inside .map() may be missing key prop,Add key={uniqueId} prop to the element,False,
